Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,EnergyLiveness,most_playedon
Ms. Lauryn Hill,Killing Me Softly With His Song,The Score (Expanded Edition),album,0.765,0.29,-17.117,0.139,0.0279,0,0.571,0.506,92.409,4.97955,Fugees - Killing Me Softly With His Song (Official Video),TheFugeesVEVO,351401822,2549466,42859,TRUE,TRUE,518080621,1,Spotify
Ms. Lauryn Hill,Doo Wop (That Thing),The Miseducation of Lauryn Hill,album,0.535,0.505,-8.926,0.245,0.0393,0,0.0923,0.495,99.935,5.337783333,Lauryn Hill - Doo-Wop (That Thing) (Official Video),laurynhillvevo,155585471,1046356,22035,TRUE,TRUE,327451076,5,Spotify
Ms. Lauryn Hill,Ready or Not,The Score (Expanded Edition),album,0.607,0.422,-13.364,0.499,0.209,0,0.0839,0.563,130.47,3.783116667,Fugees - Ready or Not (Official Video),TheFugeesVEVO,212066884,1317003,30299,TRUE,TRUE,270271722,5,Spotify
Ms. Lauryn Hill,Ex-Factor,The Miseducation of Lauryn Hill,album,0.593,0.619,-9.003,0.0976,0.118,0,0.484,0.668,80.02,5.442216667,Lauryn Hill - Ex-Factor (Video),laurynhillvevo,118440055,731399,21718,TRUE,TRUE,164734842,1,Spotify
Ms. Lauryn Hill,Can't Take My Eyes Off of You - (I Love You Baby),The Miseducation of Lauryn Hill,album,0.747,0.662,-7.9,0.0796,0.0118,0,0.138,0.63,88.926,3.691116667,Lauryn Hill - Can't Take My Eyes Off Of You (I Love You Baby - Audio),laurynhillvevo,45995920,353016,5942,TRUE,TRUE,90239854,5,Spotify
Ms. Lauryn Hill,Fu-Gee-La,The Score (Expanded Edition),album,0.681,0.505,-11.709,0.138,0.137,0,0.234,0.399,89.953,4.33445,Fugees - Fu-Gee-La (Official HD Video),TheFugeesVEVO,70572748,473024,8645,TRUE,TRUE,126371223,2,Spotify
Ms. Lauryn Hill,Nothing Even Matters (feat. D'Angelo),The Miseducation of Lauryn Hill,album,0.539,0.363,-13.888,0.166,0.701,3.18E-06,0.14,0.549,136.422,5.842216667,Lauryn Hill - Nothing Even Matters feat. D'Angelo,nfltrackstarnydc,25880121,161757,4102,FALSE,FALSE,69682284,3,Spotify
Ms. Lauryn Hill,To Zion (feat. Carlos Santana),The Miseducation of Lauryn Hill,album,0.41,0.601,-10.714,0.504,0.127,0,0.112,0.516,173.273,6.154883333,"Ms. Lauryn Hill Featuring Carlos Santana ""To Zion"" 41st Grammy Awards",Ryan Smith: Sacking Mental Illness Podcast,4494,174,9,FALSE,FALSE,62682051,5,Spotify
Ms. Lauryn Hill,Lost Ones,The Miseducation of Lauryn Hill,album,0.832,0.749,-6.129,0.37,0.0998,3.74E-06,0.0837,0.65,94.899,5.565116667,Lauryn Hill - Lost Ones,Samu,3207135,20405,1223,FALSE,FALSE,52139842,9,Spotify
Ms. Lauryn Hill,Tell Him,The Miseducation of Lauryn Hill,album,0.655,0.647,-9.465,0.0903,0.19,0.00877,0.0412,0.931,80.077,4.679333333,Lauryn Hill - Tell Him (Audio),laurynhillvevo,6835989,60342,1927,TRUE,TRUE,35278870,16,Spotify
